booking_id,listing_id,booking_date,nights_booked,booking_amount,cleaning_fee,service_fee,booking_status,created_at
ef0bd262-f88d-477f-aeba-9c69cc72c051,379,2024-12-25,3,591,70,23,confirmed,2025-12-26 14:15:54.011160
490685e5-1b70-429b-84ac-d605509467af,111,2025-02-18,3,171,45,19,confirmed,2025-12-26 14:15:54.011160
35278efe-9927-4dfd-ae16-693d5687403b,317,2025-03-24,6,780,73,42,confirmed,2025-12-26 14:15:54.011160
e821bada-b726-494a-b423-d179d6ca5ef7,253,2025-06-24,13,1131,38,28,cancelled,2025-12-26 14:15:54.011160
67af9fda-6cce-4f90-b938-54990993a668,113,2025-04-29,11,1947,53,31,cancelled,2025-12-26 14:15:54.011160
07a51ddc-85e0-4faa-aa74-3d90f49940f8,375,2025-08-28,6,1380,46,23,cancelled,2025-12-26 14:15:54.011160
8ed5abfe-e564-4ec4-b7f3-bceed676e0a3,230,2025-08-02,1,192,29,48,cancelled,2025-12-26 14:15:54.011160
cb9f00e9-0ac1-4d6b-9467-92e04869dbdc,372,2025-02-03,6,1518,50,41,cancelled,2025-12-26 14:15:54.011160
40396917-9111-4de6-87f8-56d562f98666,425,2025-12-20,5,800,50,26,cancelled,2025-12-26 14:15:54.011160
816eb804-addb-4156-bfc3-dc5b7f6565f0,277,2025-08-03,5,415,24,12,confirmed,2025-12-26 14:15:54.011160
63839e49-e88e-45cf-9e44-32f3b47ad65f,411,2025-01-13,5,685,25,24,cancelled,2025-12-26 14:15:54.011160
5aff611e-2647-49d1-b118-4322a140ea1a,32,2025-04-18,7,735,54,28,confirmed,2025-12-27 14:15:54.011160
a81bca9f-4286-4d6c-a140-c43dd04bc7f5,388,2025-09-28,8,2360,27,39,cancelled,2025-12-28 14:15:54.011160
72601355-0dac-4055-8913-74286c23da25,228,2025-06-06,4,892,79,35,cancelled,2025-12-29 14:15:54.011160
45865a98-b779-409e-88c9-80fad9622bd2,110,2025-07-05,13,2093,56,24,confirmed,2025-12-30 14:15:54.011160
